GABPB2,PDPK1,6.0333
GFI1,HIGD1A,6.0333
NFYC,TLK2,6.0333
NFYC,MTO1,6.0333
ZEB1,PLEKHJ1,6.0333
ELF2,ADAM10,6.0333
NFYC,GPR89A,6.0333
GTF2I,OSBPL1A,6.0333
FOXO4,GABPB2,6.0333
ELF1,NOMO2,6.0333
CREB3,NOL10,6.0333
ELK4,ADIPOR1,6.0333
PRDM1,FXYD5,6.0333
TFDP1,ATP2A2,6.0333
CREB3,HNRNPA2B1,6.0333
REL,LRRC1,6.0333
HMGA1,RCSD1,6.0333
JUND,GUCY1A2,6.0333
BHLHB2,MYBBP1A,6.0333
HMGB2,CDK2,6.0333
HMGB2,HNRNPD,6.0333
NFATC1,MMP2,6.0333
JUND,LIMS1,6.0333
NFYC,CENPA,6.0333
FOXO1,WDR81,6.0333
YY1,SLC30A9,6.0333
GABPB2,ZBTB34,6.0333
GABPB2,CAPZA1,6.0333
FOXO4,CADM1,6.0333
REL,YIF1B,6.0333
SREBF1,C11orf59,6.0333
GABPB2,LRRC58,6.0333
FOSL2,ELK3,6.0333
HMGB2,SATB2,6.0333
PRDM1,ERAP1,6.0333
EGR1,RAB8A,6.0333
EGR3,DNAJC7,6.0333
TFDP1,SRPR,6.0333
BHLHB2,PAFAH1B3,6.0333
ELF2,ZNF691,6.0333
REL,SHISA5,6.0333
TFDP1,SIVA1,6.0333
GTF2I,DEDD,6.0333
ELF2,ITGAX,6.0333
GABPB2,ELAVL1,6.0333
JUN,SLC39A13,6.0333
TFDP1,SGSM2,6.0333
NFATC1,IL1B,6.0333
GTF2I,GLUL,6.0333
RFX1,YIPF3,6.0333
GABPA,PAFAH1B2,6.0333
ELF2,PPP1CA,6.0333
CREB3,VPRBP,6.0333
NFATC1,MTSS1,6.0333
PRDM1,TRIM26,6.0333
NFYC,POLR3GL,6.0333
NFYC,CENPN,6.0333
YY1,TBC1D14,6.0333
ARNTL,FOSL2,6.0333
PRDM1,CDK5,6.0333
PRDM1,PTMS,6.0333
REL,MAP3K11,6.0333
POU2F2,SREBF2,6.0333
EGR1,PITPNA,6.0333
GABPB2,SUB1,6.0333
JUND,PLEKHO1,6.0333
POU6F1,BCL11B,6.0333
GABPA,ZAK,6.0333
EGR3,ZNF653,6.0333
MYB,DPY19L4,6.0333
OLIG2,BUB3,6.0333
NFYC,FLJ14154,6.0333
GABPB2,ADCK4,6.0333
GABPB2,ADNP2,6.0333
GABPA,MORC3,6.0333
TFDP1,CCT4,6.0333
TFDP1,LOC440288,6.0333
GABPA,OSBP,6.0333
NFATC1,TRIM23,6.0333
GABPB2,CTDSP1,6.0333
TFDP1,AGTPBP1,6.0333
NFYC,JTV1,6.0333
ARNTL,EFTUD2,6.0333
TFDP1,SMARCB1,6.0333
GABPA,ACBD3,6.0333
FOSB,RALB,6.0333
ARNTL,FLT3,6.0333
ETS1,NFAT5,6.0333
GABPA,TNPO3,6.0333
NFYC,AURKB,6.0333
GFI1,HSPA5,6.0333
BHLHB2,MED13L,6.0333
ZIC2,SLC30A1,6.0333
ELK4,CSNK2A2,6.0333
MYB,JARID1C,6.0333
ELK4,SKP2,6.0333
MYB,WDR54,6.0333
SMAD3,MTDH,6.0333
ELF1,USP11,6.0333
ELF2,CBLB,6.0333
TFDP1,CHERP,6.0333
RREB1,RPL5,6.0333
GABPB2,AKAP10,6.0333
JUN,LIMS1,6.0333
CREB1,ATP2A2,6.0333
TFDP1,HDLBP,6.0333
YY1,PPIE,6.0333
RREB1,JUND,6.0333
PRDM1,RUNX2,6.0333
BHLHB2,FBXL5,6.0333
TFDP1,ALS2CR13,6.0333
TFDP1,DUT,6.0333
GABPA,RPL18A,6.0333
ELF1,TSPAN6,6.0333
ARNTL,NUMB,6.0333
GABPA,PDSS1,6.0333
ELF1,ZMAT3,6.0333
NFKB1,E2F3,6.0333
RREB1,SETD3,6.0333
ARNTL,G6PD,6.0333
YY1,FLOT2,6.0333
GABPB2,ARL4A,6.0333
GTF2I,SENP6,6.0333
GABPA,WDR36,6.0333
PRDM1,GPR84,6.0333
NFYC,C20orf24,6.0333
ETS1,MAP2K1,6.0333
GTF2I,SYNCRIP,6.0333
GFI1,MYO1E,6.0333
ADNP,GRAMD3,6.0333
BHLHB2,KLHDC3,6.0333
GABPB2,EIF3EIP,6.0333
TFDP1,SETD5,6.0333
JUN,AFF4,6.0333
SREBF1,SNAP29,6.0333
MYB,SMARCA4,6.0333
HMGB2,JARID1C,6.0333
CREB3,U2AF1,6.0333
RFX1,L3MBTL2,6.0333
TFDP1,RCOR1,6.0333
ZEB1,APPL1,6.0333
NFKB1,CASZ1,6.0333
ELF1,GIPC3,6.0333
NFATC1,SLC45A3,6.0333
GABPA,XRCC5,6.0333
MYB,TAF4,6.0333
JUN,RALGDS,6.0333
ELK4,TRMU,6.0333
NFYC,NDUFB11,6.0333
MYB,CBX5,6.0333
MEF2C,GPNMB,6.0333
YY1,METTL3,6.0333
GABPA,ADIPOR2,6.0333
ELK4,EIF3K,6.0333
GABPA,C8orf53,6.0333
CREB3,TXNDC11,6.0333
GFI1,P4HB,6.0333
YY1,FNTA,6.0333
TFAP4,TRPC4AP,6.0333
ELF1,ACBD3,6.0333
HMGA1,RIOK2,6.0333
ELK4,TPT1,6.0333
GABPB2,KHDRBS1,6.0333
ELK4,JMJD6,6.0333
POU2F2,ARHGAP12,6.0333
EGR1,SDCBP,6.0333
GFI1,POU2F2,6.0333
FOXO4,DHRS3,6.0333
RUNX1,TIMP1,6.0333
ELK4,GON4L,6.0333
ELK4,MTX3,6.0333
NFYC,ZNF700,6.0333
GABPA,ITFG1,6.0333
ELK4,YY1,6.0333
JUND,CALM2,6.0333
BHLHB2,LRRC58,6.0333
ETS1,FGR,6.0333
NFYC,TBCC,6.0333
ELF1,KIAA0430,6.0333
TFDP1,FOSB,6.0333
ELK4,EXOC5,6.0333
ELF2,NFKB1,6.0333
RREB1,FGFR1OP,6.0333
PRDM1,SLC12A4,6.0333
FOSB,OSBPL7,6.0333
NFYC,CKAP2,6.0333
CREB3,TROVE2,6.0333
BHLHB2,MUS81,6.0333
SMAD6,CHD9,6.0333
YY1,MTMR10,6.0333
ETS1,GAS2L3,6.0333
ZEB1,MINK1,6.0333
TFDP1,TSPAN5,6.0333
OLIG2,KLF11,6.0333
ELF2,ANKFY1,6.0333
ZIC2,GATA2,6.0333
GABPA,AVEN,6.0333
ELF1,P2RX4,6.0333
ELK4,TPR,6.0333
ELF1,ZFAND3,6.0333
ELK4,NACA,6.0333
TFAP4,PLEC1,6.0333
GTF2I,UNC5C,6.0333
GTF2I,DUSP9,6.0333
GTF2I,LIN54,6.0333
ELF1,LANCL3,6.0333
ETS1,ETV6,6.0333
GABPA,GRINL1A,6.0333
OLIG2,RAB21,6.0333
YY1,ALDOA,6.0333
GABPB2,LOC440288,6.0333
EGR3,NLK,6.0333
GABPB2,TNKS,6.0333
ETS1,AP3S2,6.0333
GABPA,TAF7,6.0333
GABPB2,YARS,6.0333
TFDP1,AEBP2,6.0333
ELF2,WDR26,6.0333
EGR3,SH3KBP1,6.0333
BHLHB2,LAPTM4B,6.0333
GTF2I,ADIPOR2,6.0333
GABPB2,SAP130,6.0333
MYB,SERINC5,6.0333
YY1,PABPN1,6.0333
RREB1,FLI1,6.0333
ARNTL,SEPT6,6.0333
RUNX1,ZC3H12D,6.0333
GABPB2,ZNF598,6.0333
GFI1,MEF2C,6.0333
MYB,C1orf59,6.0333
BHLHB2,SMPDL3A,6.0333
TFDP1,SLC12A2,6.0333
GABPB2,POLG,6.0333
CREB1,UTY,6.0333
POU2F2,SLC39A10,6.0333
GABPB2,UCK2,6.0333
ELK4,VPS26B,6.0333
JUND,ZHX2,6.0333
YY1,PPP1R7,6.0333
NFYC,HGS,6.0333
GABPA,NUDC,6.0333
TFDP1,SNX5,6.0333
GABPB2,ZNF765,6.0333
NFKB1,ZYX,6.0333
GABPB2,AFTPH,6.0333
HMGA1,CTDSP2,6.0333
SMAD3,GOLGA5,6.0333
ZEB1,CRYZL1,6.0333
GABPA,CDC42EP3,6.0333
NFKB1,CHURC1,6.0333
FOXO1,MARCH4,6.0333
FOSL2,CEPT1,6.0333
ELK4,GATC,6.0333
MEF2D,PIGV,6.0333
YY1,GABPB2,6.0333
FOSL1,GABPA,6.0333
SREBF1,LIMS1,6.0333
ELF1,C1orf107,6.0333
NFYC,FAM105A,6.0333
TFAP4,LEMD3,6.0333
GTF2I,MOSC1,6.0333
MEF2D,HDAC9,6.0333
SREBF1,BCL6,6.0333
ELK4,POMP,6.0333
EGR1,ATXN2L,6.0333
SMAD3,GGA3,6.0333
MYB,XPO4,6.0333
ETS1,HRH1,6.0333
TFAP4,SPRY2,6.0333
YY1,OXCT1,6.0333
RFX1,SEC13,6.0333
GABPB2,TNPO3,6.0333
ELK4,CISD2,6.0333
ELF1,ITPKC,6.0333
EGR3,PTMS,6.0333
GTF2I,TMEM30A,6.0333
FOSL2,RALB,6.0333
CREB1,SKP1,6.0333
NFYC,NFATC2IP,6.0333
RUNX1,DGKZ,6.0333
